CRN,Subject,Department,Number,Section,Instructor,Days,Start Time,End Time,Building,Room,Campus,Class Type,Method,DP or IN,PoT,Actual,Max
36117,CJ,CJCR,3347,253,"Spivey, Emily Dianne",_M_W___,11:00 AM,12:20 PM,HINE,101,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,30,30
36119,CJ,CJCR,3347,255,"Martaindale, Michael Hunter",_M_W___,12:30 PM,1:50 PM,HINE,101,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,29,30
39691,CJ,CJCR,3347,256,"Smith, Wesley Thomas",_______,,,ARR,ARR,Online,LEC,INT,,1,30,30
40422,CJ,CJCR,3347,257,"Logan, Matthew William",_______,,,ARR,ARR,Online,LEC,INT,,1,21,30
31937,CJ,CJCR,4301,251,"Elsass, H Jaymi",_______,,,ARR,ARR,Online,ITS,FTF,DP,1,11,20
31938,CJ,CJCR,4302,251,"Elsass, H Jaymi",_______,,,ARR,ARR,Online,ITS,FTF,DP,1,4,20
34076,CJ,CJCR,4310,251,"Williams, Howard Earl",_M_W___,12:30 PM,1:50 PM,HINE,103,"601 University Dr, San Marcos, TX 78666",LEC,FTF,DP,1,35,35
30423,CJ,CJCR,4310,252,"Williams, Howard Earl",__T_R__,2:00 PM,3:20 PM,HINE,203,"601 University Dr, San Marcos, TX 78666",LEC,FTF,DP,1,24,35
32957,CJ,CJCR,4310,253,"Payne, Raymie Donele",_______,,,ARR,ARR,Online,LEC,INT,DP,1,36,35
34460,CJ,CJCR,4310,254,"Payne, Raymie Donele",__T_R__,3:30 PM,4:50 PM,HINE,206,"601 University Dr, San Marcos, TX 78666",LEC,FTF,DP,1,17,35
37994,CJ,CJCR,4310,255,"Reyes, Brian A",_______,,,ARR,ARR,Online,LEC,INT,DP,1,38,37
36121,CJ,CJCR,4314,251,"Bensman, Todd Jay",____R__,6:30 PM,9:20 PM,HINE,207,Online,LEC,INT,,1,70,70
36122,CJ,CJCR,4321,251,"Williams, Howard Earl",_M_W___,3:30 PM,4:50 PM,HINE,206,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,95,95
39612,CJ,CJCR,4325,251,"Parker, Gemini Alexis",_______,,,ARR,ARR,Online,LEC,INT,,1,36,35
36123,CJ,CJCR,4326,251,"Carreon, Jennifer Renee",_______,,,ARR,ARR,Online,LEC,INT,,1,35,35
36609,CJ,CJCR,4326,252,"Zingraff, Romane",__T_R__,12:30 PM,1:50 PM,HINE,207,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,35,35
36959,CJ,CJCR,4331,251,"Chai, Miin Miin",_______,,,ARR,ARR,Online,LEC,INT,,1,36,35
37587,CJ,CJCR,4331,252,"Davis, Joshua J",__T_R__,12:30 PM,1:50 PM,HINE,206,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,61,60
39272,CJ,CJCR,4332,251,"Bumgarner, Jeffrey Brian",__T_R__,2:00 PM,3:20 PM,HINE,206,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,27,60
39273,CJ,CJCR,4334,251,"Elsass, H Jaymi",__T_R__,11:00 AM,12:20 PM,HINE,201,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,62,65
39616,CJ,CJCR,4336,251,"Quinby, Elizabeth Ann",__T_R__,2:00 PM,3:20 PM,HINE,201,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,60,60
39274,CJ,CJCR,4338,251,"Garcia, Leticia Taught",_______,,,ARR,ARR,Online,LEC,INT,,1,36,35
